,Date,Close
1928,2017-02-27,0.679
1927,2017-02-28,0.74
1926,2017-03-01,0.776
1925,2017-03-02,0.825
1924,2017-03-03,0.827
1923,2017-03-06,0.832
1922,2017-03-07,0.853
1921,2017-03-08,0.863
1920,2017-03-09,0.878
1919,2017-03-10,0.883
1918,2017-03-13,0.914
1917,2017-03-14,0.914
1916,2017-03-15,0.873
1915,2017-03-16,0.868
1914,2017-03-17,0.863
1913,2017-03-20,0.868
1912,2017-03-21,0.894
1911,2017-03-22,0.889
1910,2017-03-23,0.883
1909,2017-03-24,0.888
1908,2017-03-27,0.909
1907,2017-03-28,0.919
1906,2017-03-29,0.909
1905,2017-03-30,0.899
1904,2017-03-31,0.899
1903,2017-04-03,0.894
1902,2017-04-04,0.914
1901,2017-04-05,0.914
1900,2017-04-06,0.929
1899,2017-04-07,0.945
1898,2017-04-10,0.95
1897,2017-04-11,0.935
1896,2017-04-12,0.924
1895,2017-04-13,0.924
1894,2017-04-17,0.94
1893,2017-04-18,0.927
1892,2017-04-19,0.927
1891,2017-04-20,0.924
1890,2017-04-21,0.914
1889,2017-04-24,0.95
1888,2017-04-25,0.976
1887,2017-04-26,0.965
1886,2017-04-27,0.965
1885,2017-04-28,0.97
1884,2017-05-01,0.97
1883,2017-05-02,0.986
1882,2017-05-03,0.991
1881,2017-05-04,0.999
1880,2017-05-05,1.006
1879,2017-05-08,1.016
1878,2017-05-09,1.022
1877,2017-05-10,1.029
1876,2017-05-11,1.027
1875,2017-05-12,1.016
1874,2017-05-15,1.016
1873,2017-05-16,1.034
1872,2017-05-17,0.991
1871,2017-05-18,1.011
1870,2017-05-19,1.016
1869,2017-05-22,1.042
1868,2017-05-23,1.073
1867,2017-05-24,1.063
1866,2017-05-25,1.068
1865,2017-05-26,1.068
1864,2017-05-30,1.073
1863,2017-05-31,1.068
1862,2017-06-01,1.063
1861,2017-06-02,1.05
1860,2017-06-05,1.062
1859,2017-06-06,1.073
1858,2017-06-07,1.088
1857,2017-06-08,1.109
1856,2017-06-09,1.116
1855,2017-06-12,1.109
1854,2017-06-13,1.124
1853,2017-06-14,1.114
1852,2017-06-15,1.119
1851,2017-06-16,1.114
1850,2017-06-19,1.124
1849,2017-06-20,1.134
1848,2017-06-21,1.119
1847,2017-06-22,1.101
1846,2017-06-23,1.098
1845,2017-06-26,1.093
1844,2017-06-27,1.124
1843,2017-06-28,1.119
1842,2017-06-29,1.132
1841,2017-06-30,1.134
1840,2017-07-03,1.142
1839,2017-07-05,1.145
1838,2017-07-06,1.134
1837,2017-07-07,1.134
1836,2017-07-10,1.129
1835,2017-07-11,1.134
1834,2017-07-12,1.129
1833,2017-07-13,1.129
1832,2017-07-14,1.124
1831,2017-07-17,1.109
1830,2017-07-18,1.111
1829,2017-07-19,1.109
1828,2017-07-20,1.109
1827,2017-07-21,1.109
1826,2017-07-24,1.126
1825,2017-07-25,1.145
1824,2017-07-26,1.134
1823,2017-07-27,1.129
1822,2017-07-28,1.129
1821,2017-07-31,1.134
1820,2017-08-01,1.134
1819,2017-08-02,1.139
1818,2017-08-03,1.137
1817,2017-08-04,1.139
1816,2017-08-07,1.149
1815,2017-08-08,1.159
1814,2017-08-09,1.146
1813,2017-08-10,1.142
1812,2017-08-11,1.135
1811,2017-08-14,1.131
1810,2017-08-15,1.143
1809,2017-08-16,1.133
1808,2017-08-17,1.121
1807,2017-08-18,1.114
1806,2017-08-21,1.107
1805,2017-08-22,1.13
1804,2017-08-23,1.113
1803,2017-08-24,1.115
1802,2017-08-25,1.112
1801,2017-08-28,1.111
1800,2017-08-29,1.116
1799,2017-08-30,1.099
1798,2017-08-31,1.077
1797,2017-09-01,1.087
1796,2017-09-05,1.105
1795,2017-09-06,1.161
1794,2017-09-07,1.14
1793,2017-09-08,1.14
1792,2017-09-11,1.149
1791,2017-09-12,1.155
1790,2017-09-13,1.155
1789,2017-09-14,1.164
1788,2017-09-15,1.169
1787,2017-09-18,1.17
1786,2017-09-19,1.186
1785,2017-09-20,1.191
1784,2017-09-21,1.188
1783,2017-09-22,1.183
1782,2017-09-25,1.184
1781,2017-09-26,1.187
1780,2017-09-27,1.188
1779,2017-09-28,1.186
1778,2017-09-29,1.194
1777,2017-10-02,1.193
1776,2017-10-03,1.211
1775,2017-10-04,1.211
1774,2017-10-05,1.215
1773,2017-10-06,1.223
1772,2017-10-10,1.235
1771,2017-10-11,1.243
1770,2017-10-12,1.245
1769,2017-10-13,1.246
1768,2017-10-16,1.251
1767,2017-10-17,1.259
1766,2017-10-18,1.245
1765,2017-10-19,1.252
1764,2017-10-20,1.262
1763,2017-10-23,1.256
1762,2017-10-24,1.268
1761,2017-10-25,1.266
1760,2017-10-26,1.272
1759,2017-10-27,1.271
1758,2017-10-30,1.257
1757,2017-10-31,1.281
1756,2017-11-01,1.29
1755,2017-11-02,1.291
1754,2017-11-03,1.296
1753,2017-11-06,1.298
1752,2017-11-07,1.329
1751,2017-11-08,1.34
1750,2017-11-09,1.346
1749,2017-11-10,1.36
1748,2017-11-13,1.365
1747,2017-11-14,1.394
1746,2017-11-15,1.386
1745,2017-11-16,1.404
1744,2017-11-17,1.411
1743,2017-11-20,1.416
1742,2017-11-21,1.445
1741,2017-11-22,1.444
1740,2017-11-24,1.442
1739,2017-11-27,1.437
1738,2017-11-28,1.445
1737,2017-11-29,1.451
1736,2017-11-30,1.44
1735,2017-12-01,1.441
1734,2017-12-04,1.445
1733,2017-12-05,1.48
1732,2017-12-06,1.458
1731,2017-12-07,1.46
1730,2017-12-08,1.441
1729,2017-12-11,1.441
1728,2017-12-12,1.482
1727,2017-12-13,1.455
1726,2017-12-14,1.469
1725,2017-12-15,1.467
1724,2017-12-18,1.47
1723,2017-12-19,1.496
1722,2017-12-20,1.513
1721,2017-12-21,1.53
1720,2017-12-22,1.531
1719,2017-12-26,1.522
1718,2017-12-27,1.521
1717,2017-12-28,1.527
1716,2017-12-29,1.533
1715,2018-01-02,1.559
1714,2018-01-03,1.587
1713,2018-01-04,1.588
1712,2018-01-05,1.58
1711,2018-01-08,1.575
1710,2018-01-09,1.597
1709,2018-01-10,1.581
1708,2018-01-11,1.588
1707,2018-01-12,1.596
1706,2018-01-16,1.595
1705,2018-01-17,1.63
1704,2018-01-18,1.621
1703,2018-01-19,1.621
1702,2018-01-22,1.622
1701,2018-01-23,1.632
1700,2018-01-24,1.626
1699,2018-01-25,1.629
1698,2018-01-26,1.631
1697,2018-01-29,1.627
1696,2018-01-30,1.66
1695,2018-01-31,1.653
1694,2018-02-01,1.648
1693,2018-02-02,1.63
1692,2018-02-05,1.621
1691,2018-02-06,1.687
1690,2018-02-07,1.724
1689,2018-02-08,1.729
1688,2018-02-09,1.741
1687,2018-02-12,1.779
1686,2018-02-13,1.793
1685,2018-02-14,1.799
1684,2018-02-15,1.818
1683,2018-02-16,1.825
1682,2018-02-20,1.826
1681,2018-02-21,1.85
1680,2018-02-22,1.844
1679,2018-02-23,1.852
1678,2018-02-26,1.844
1677,2018-02-27,1.862
1676,2018-02-28,1.851
1675,2018-03-01,1.837
1674,2018-03-02,1.841
1673,2018-03-05,1.845
1672,2018-03-06,1.869
1671,2018-03-07,1.874
1670,2018-03-08,1.874
1669,2018-03-09,1.874
1668,2018-03-12,1.874
1667,2018-03-13,1.896
1666,2018-03-14,1.941
1665,2018-03-15,1.941
1664,2018-03-16,1.945
1663,2018-03-19,1.959
1662,2018-03-20,1.962
1661,2018-03-21,1.94
1660,2018-03-22,1.926
1659,2018-03-23,1.902
1658,2018-03-26,1.914
1657,2018-03-27,1.931
1656,2018-03-28,1.928
1655,2018-03-29,1.918
1654,2018-04-02,1.914
1653,2018-04-03,1.922
1652,2018-04-04,1.901
1651,2018-04-05,1.913
1650,2018-04-06,1.896
1649,2018-04-09,1.906
1648,2018-04-10,1.924
1647,2018-04-11,1.926
1646,2018-04-12,1.942
1645,2018-04-13,1.956
1644,2018-04-16,1.965
1643,2018-04-17,1.993
1642,2018-04-18,1.999
1641,2018-04-19,1.999
1640,2018-04-20,2.003
1639,2018-04-23,2.009
1638,2018-04-24,2.034
1637,2018-04-25,2.023
1636,2018-04-26,2.004
1635,2018-04-27,2.011
1634,2018-04-30,2.007
1633,2018-05-01,2.032
1632,2018-05-02,2.025
1631,2018-05-03,2.025
1630,2018-05-04,2.026
1629,2018-05-07,2.03
1628,2018-05-08,2.025
1627,2018-05-09,2.055
1626,2018-05-10,2.042
1625,2018-05-11,2.047
1624,2018-05-14,2.052
1623,2018-05-15,2.083
1622,2018-05-16,2.082
1621,2018-05-17,2.079
1620,2018-05-18,2.082
1619,2018-05-21,2.1
1618,2018-05-22,2.127
1617,2018-05-23,2.096
1616,2018-05-24,2.083
1615,2018-05-25,2.066
1614,2018-05-29,2.026
1613,2018-05-30,2.074
